"SPECIES","tissue","EXON","n","mean_TPM","sd_TPM","se_TPM"
"AW","Brain","EXON2",162,21473.0925645777,23758.8854578977,1866.67433563488
"AW","Brain","EXON3",178,19782.9157558338,22059.3345164244,1653.41702582203
"AW","Eye","EXON2",57,17718.6012065123,27458.8062276289,3637.00773348736
"AW","Eye","EXON3",65,15231.3804804431,24830.8159613976,3079.88366740543
"AW","Gonad","EXON2",28,18106.6632817269,27535.7846297948,5203.77416324798
"AW","Gonad","EXON3",31,15903.6589713435,25706.6534834632,4617.05126299506
"AW","Heart","EXON2",291,22772.8578496679,24754.8576585348,1451.15545584377
"AW","Heart","EXON3",321,19853.888989865,23460.4534309245,1309.43482039451
"AW","Liver","EXON2",267,24850.7762646947,29662.5306300979,1815.31739404689
"AW","Liver","EXON3",292,21797.4066346798,28018.1037976869,1639.63550537077
"AC","Blood","EXON2",212,33651.6451914866,40937.201264974,2811.57852611891
"AC","Blood","EXON3",242,28371.2860305986,38253.9746031821,2459.05862265891
