"SPECIES","tissue","EXON","n_TPM","mean_TPM","sd_TPM","median_TPM","q25_TPM","q75_TPM","min_TPM","max_TPM","n_logTPM1","mean_logTPM1","sd_logTPM1","median_logTPM1","q25_logTPM1","q75_logTPM1","min_logTPM1","max_logTPM1"
"AW","Brain","EXON2",162,21473.0925645777,23758.8854578977,16768.5068102312,4819.92773163872,28370.9566543374,0,129942.339641607,162,8.3296875448739,3.52258134295363,9.7271018182732,8.48032636936362,10.2531187786758,0,11.7748537855173
"AW","Brain","EXON3",178,19782.9157558338,22059.3345164244,15006.60468787,5230.72956346475,26550.9249546438,0,124819.164960397,178,8.20101440575691,3.58498087520824,9.61568305704331,8.56249720286089,10.1868565505597,0,11.7346293000734
"AW","Eye","EXON2",57,17718.6012065123,27458.8062276289,0,0,32780.0472614736,0,92555.6633970367,57,3.91380859664913,5.1838996294223,0,0,10.3976057999716,0,11.4355763132169
"AW","Eye","EXON3",65,15231.3804804431,24830.8159613976,0,0,24165.1931115543,0,88893.3889460748,65,3.71986540332309,5.07795080941046,0,0,10.0927099565987,0,11.395204303043
"AW","Gonad","EXON2",28,18106.6632817269,27535.7846297948,1060.24054869166,0,30816.8413590061,0,89400.0651116294,28,5.90094318081006,4.73598085811392,6.91540682359535,0,10.3304762454772,0,11.400887875091
"AW","Gonad","EXON3",31,15903.6589713435,25706.6534834632,1337.99942043874,0,25122.0925665136,0,86484.8455971198,31,5.83469547992681,4.62330541150267,7.19967791285967,0,10.1260011928569,0,11.367736044815
"AW","Heart","EXON2",291,22772.8578496679,24754.8576585348,17354.2195146719,3854.53141959004,30084.2689934471,0,138809.114638066,291,8.66231647170911,3.00170482073612,9.76164857671327,8.25610406578803,10.3117890243427,0,11.840862196432
"AW","Heart","EXON3",321,19853.888989865,23460.4534309245,12786.4893085813,1500.17327273477,27078.1164079604,0,133316.667655985,321,8.34350601931953,3.05954550272629,9.45622257417596,7.3140022631687,10.2065180975412,0,11.8004900379391
"AW","Liver","EXON2",267,24850.7762646947,29662.5306300979,14795.6791993013,4044.02458931214,34331.3516948809,0,204511.717997628,267,8.77164256513454,2.73671730569306,9.60215805615002,8.30513077699291,10.4438363637173,0,12.2283854432287
"AW","Liver","EXON3",292,21797.4066346798,28018.1037976869,12090.7017750855,1418.16028293869,30726.1208551505,0,197842.85762814,292,8.50677053492578,2.74295279003781,9.40027467144972,7.25731316138502,10.3328993527643,0,12.1952334007321
"AC","Blood","EXON2",212,33651.6451914866,40937.201264974,18957.1343658108,2846.37688793438,49645.285981893,0,212307.971535226,212,9.17685575751199,2.31946336263281,9.84985138269868,7.95383127864097,10.8126415822306,0,12.2657979055607
"AC","Blood","EXON3",242,28371.2860305986,38253.9746031821,10724.8695218998,1463.00665060952,41987.5448135944,0,203907.296402537,242,8.69145109485678,2.57387827378012,9.28011337713345,7.28879306129617,10.6451510970152,0,12.2254256443201
