"SPECIES","tissue","EXON","n","mean","sd","median","q25","q75","min","max"
"AW","Brain","EXON2",162,21473.0925645777,23758.8854578977,16768.5068102312,4819.92773163872,28370.9566543374,0,129942.339641607
"AW","Brain","EXON3",178,19782.9157558338,22059.3345164244,15006.60468787,5230.72956346475,26550.9249546438,0,124819.164960397
"AW","Eye","EXON2",57,17718.6012065123,27458.8062276289,0,0,32780.0472614736,0,92555.6633970367
"AW","Eye","EXON3",65,15231.3804804431,24830.8159613976,0,0,24165.1931115543,0,88893.3889460748
"AW","Gonad","EXON2",28,18106.6632817269,27535.7846297948,1060.24054869166,0,30816.8413590061,0,89400.0651116294
"AW","Gonad","EXON3",31,15903.6589713435,25706.6534834632,1337.99942043874,0,25122.0925665136,0,86484.8455971198
"AW","Heart","EXON2",291,22772.8578496679,24754.8576585348,17354.2195146719,3854.53141959004,30084.2689934471,0,138809.114638066
"AW","Heart","EXON3",321,19853.888989865,23460.4534309245,12786.4893085813,1500.17327273477,27078.1164079604,0,133316.667655985
"AW","Liver","EXON2",267,24850.7762646947,29662.5306300979,14795.6791993013,4044.02458931214,34331.3516948809,0,204511.717997628
"AW","Liver","EXON3",292,21797.4066346798,28018.1037976869,12090.7017750855,1418.16028293869,30726.1208551505,0,197842.85762814
"AC","Blood","EXON2",212,33651.6451914866,40937.201264974,18957.1343658108,2846.37688793438,49645.285981893,0,212307.971535226
"AC","Blood","EXON3",242,28371.2860305986,38253.9746031821,10724.8695218998,1463.00665060952,41987.5448135944,0,203907.296402537
