"SPECIES","tissue","CONTIG_TYPE","n","mean","sd","median","q25","q75","min","max"
"AW","Brain","Core",250,23670.9737456976,24773.2050395778,18140.089664527,6567.41706282586,32505.2480015309,0,129942.339641607
"AW","Brain","Not_core",90,12025.0729286178,13182.1729372901,7899.71520420162,2396.93871204923,17519.8477682077,0,54703.8784558978
"AW","Eye","Core",79,18021.4800692431,27923.8282706778,0,0,32452.2467888588,0,92555.6633970367
"AW","Eye","Not_core",43,13402.3970820883,22070.079607232,0,0,18973.3753697908,0,78178.0846169145
"AW","Gonad","Core",38,26021.2323875446,29212.5747708039,14518.8978825752,0,37585.5637919451,0,89400.0651116294
"AW","Gonad","Not_core",21,533.008060633637,576.304188476482,522.896325228934,0,879.785004202344,0,1713.2655344993
"AW","Heart","Core",440,28819.3222907844,24538.9439532072,21412.904616532,12348.6834044318,38720.8311540073,0,138809.114638066
"AW","Heart","Not_core",172,1857.54762822607,2291.31243379017,1076.66590816198,280.305993014354,2441.59522266635,0,10867.3196126943
"AW","Liver","Core",397,31872.4615835743,29904.4072975818,22429.4856434829,11868.8948697112,39640.6429305703,0,204511.717997628
"AW","Liver","Not_core",162,2139.70834148774,7023.15631197106,525.200232512787,122.547076096315,1264.73417187172,0,59268.441966301
"AC","Blood","Core",245,54504.9249647512,40862.2728022583,42140.8197674267,23686.8239516838,80556.4500092382,0,212307.971535226
"AC","Blood","Not_core",209,3092.3128403634,4325.24105261711,1802.55865546546,591.405665447617,3934.98651511826,0,28943.5283379789
