"SPECIES","tissue","IS_PSEUDOGENE","n_TPM","mean_TPM","sd_TPM","median_TPM","q25_TPM","q75_TPM","min_TPM","max_TPM","n_logTPM1","mean_logTPM1","sd_logTPM1","median_logTPM1","q25_logTPM1","q75_logTPM1","min_logTPM1","max_logTPM1"
"AW","Brain","Non_pseudogene",290,22485.725334295,23837.6369963068,17529.0439090151,6020.13230759038,30165.2686908834,0,129942.339641607,290,8.45327805486026,3.48769205866413,9.77167106972322,8.70303061157784,10.3144270046305,0,11.7748537855173
"AW","Brain","Pseudogene",50,9582.79306108887,11006.1077021571,6269.2939448963,2249.83417015451,12121.2300568043,0,48960.664148477,50,7.15478621169649,3.74357632455168,8.74307732832296,7.71905616878142,9.40251069231326,0,10.7987929065693
"AW","Eye","Non_pseudogene",102,17842.128727023,27292.1830530279,0,0,32076.4788901073,0,92555.6633970367,102,3.96037832435288,5.17744080110892,0,0,10.3759061098058,0,11.4355763132169
"AW","Eye","Pseudogene",20,9005.14349218288,16756.0458191289,0,0,12728.277014596,0,52513.6357128806,20,3.04598760705038,4.78441150881264,0,0,9.44849221294743,0,10.8688471852125
"AW","Gonad","Non_pseudogene",47,21140.0215451598,28093.5538538287,6997.58317585779,0,36126.4163547585,0,89400.0651116294,47,6.48075460513796,4.69821646217043,8.85346300410222,0,10.4947361270596,0,11.400887875091
"AW","Gonad","Pseudogene",12,534.915614790773,624.016264054159,339.566141972835,0,910.654653472602,0,1713.2655344993,12,3.45887520824404,3.62124688516121,3.26114365723243,0,6.81361262426394,0,7.44674000810347
"AW","Heart","Non_pseudogene",515,24554.5274619713,24419.7080756156,18812.0467937651,8312.44416796268,31838.0250324597,0,138809.114638066,515,9.0899560403605,2.54837585416811,9.84230588651815,9.02562924168136,10.3684472033415,0,11.840862196432
"AW","Heart","Pseudogene",97,3653.79749571935,11624.3387324424,791.37558227949,0,2036.23243476043,0,73614.8105689457,97,5.33682644003366,3.44016440013963,6.6750354994575,0,7.61934751612877,0,11.2066150991598
"AW","Liver","Non_pseudogene",470,27002.9837607844,29381.965643353,17934.2220621667,7547.98114109773,35509.8940538108,0,204511.717997628,470,9.32099358999224,2.0168029364575,9.79452174571072,8.92916635003276,10.477593129974,0,12.2283854432287
"AW","Liver","Pseudogene",89,3467.38912844198,14080.0695790443,415.321443355136,30.9863091154807,1200.17426779347,0,92385.8792444764,89,5.00155700890898,3.17598986675769,6.03145766225495,3.46530797110879,7.09105491379636,0,11.4337402480282
"AC","Blood","Non_pseudogene",337,40954.6907439112,41370.7470347295,26411.2344465206,9465.74233392139,57975.8544183524,0,212307.971535226,337,9.81921989748605,1.79095265833819,10.1815826077903,9.15554012846911,10.9677991481297,0,12.2657979055607
"AC","Blood","Pseudogene",117,1694.6087119823,2048.74551090417,920.555026265055,335.448357538823,2152.11881144837,0,10461.9883568236,117,6.32262803500072,2.30971425362738,6.8260624891253,5.81844466788314,7.67467267997943,0,9.25559939058521
