"SPECIES","tissue","IS_PSEUDOGENE","n","mean","sd","median","q25","q75","min","max"
"AW","Brain","Non_pseudogene",290,22485.725334295,23837.6369963068,17529.0439090151,6020.13230759038,30165.2686908834,0,129942.339641607
"AW","Brain","Pseudogene",50,9582.79306108887,11006.1077021571,6269.2939448963,2249.83417015451,12121.2300568043,0,48960.664148477
"AW","Eye","Non_pseudogene",102,17842.128727023,27292.1830530279,0,0,32076.4788901073,0,92555.6633970367
"AW","Eye","Pseudogene",20,9005.14349218288,16756.0458191289,0,0,12728.277014596,0,52513.6357128806
"AW","Gonad","Non_pseudogene",47,21140.0215451598,28093.5538538287,6997.58317585779,0,36126.4163547585,0,89400.0651116294
"AW","Gonad","Pseudogene",12,534.915614790773,624.016264054159,339.566141972835,0,910.654653472602,0,1713.2655344993
"AW","Heart","Non_pseudogene",515,24554.5274619713,24419.7080756156,18812.0467937651,8312.44416796268,31838.0250324597,0,138809.114638066
"AW","Heart","Pseudogene",97,3653.79749571935,11624.3387324424,791.37558227949,0,2036.23243476043,0,73614.8105689457
"AW","Liver","Non_pseudogene",470,27002.9837607844,29381.965643353,17934.2220621667,7547.98114109773,35509.8940538108,0,204511.717997628
"AW","Liver","Pseudogene",89,3467.38912844198,14080.0695790443,415.321443355136,30.9863091154807,1200.17426779347,0,92385.8792444764
"AC","Blood","Non_pseudogene",337,40954.6907439112,41370.7470347295,26411.2344465206,9465.74233392139,57975.8544183524,0,212307.971535226
"AC","Blood","Pseudogene",117,1694.6087119823,2048.74551090417,920.555026265055,335.448357538823,2152.11881144837,0,10461.9883568236
