"SPECIES","tissue","EXON","n_diff","mean_diff","sd_diff","median_diff","q25_diff","q75_diff","min_diff","max_diff"
"AW","Brain","EXON2",7,78715.4973537885,34765.7106775583,77290.9835875582,52121.5175405575,100646.536835786,38239.0494946676,129942.339641607
"AW","Brain","EXON3",7,75194.5329099555,34335.2308957722,74780.2797411725,51093.9840208406,96959.5743618246,30655.1689027889,124819.164960397
"AW","Eye","EXON2",3,60572.4639827483,52484.7334292595,89161.7285512081,44580.864275604,90858.6959741224,0,92555.6633970367
"AW","Eye","EXON3",3,58175.711810769,50407.9993727061,85633.7464862322,42816.8732431161,87263.5677161535,0,88893.3889460748
"AW","Gonad","EXON2",2,44700.0325558147,63215.392278952,44700.0325558147,22350.0162779074,67050.048833722,0,89400.0651116294
"AW","Gonad","EXON3",2,43242.4227985599,61154.0207915949,43242.4227985599,21621.2113992799,64863.6341978398,0,86484.8455971198
"AW","Heart","EXON2",13,84716.7172731599,28917.1454270948,83591.4966970728,65407.8356225604,97178.1712389342,43549.9138654207,138809.114638066
"AW","Heart","EXON3",13,81391.726983528,27885.1389277674,80865.6870221682,62819.7557957684,93332.9918014224,40808.5996173944,133316.667655985
"AW","Liver","EXON2",13,107306.756128477,40118.2791476065,102232.942074998,89086.8175273383,116309.989030244,56094.9791532379,204511.717997628
"AW","Liver","EXON3",13,102802.133980227,39352.4509738348,98187.7537195127,85564.6310449556,111707.795219694,53629.9476624494,197842.85762814
"AC","Blood","EXON2",14,135683.960312027,35715.6641855584,129964.994916826,113065.21219099,147248.99417318,90944.2998875047,212307.971535226
"AC","Blood","EXON3",14,130746.917883301,34037.9414686746,125338.585936717,109232.740422044,141522.402410675,88749.3339215394,203907.296402537
