"SPECIES","individual_id","tissue","EXON","n_exons","max_TPM","min_TPM","diff_TPM"
"AW","AW_365326","Eye","EXON2",25,89161.7285512081,0,89161.7285512081
"AW","AW_365326","Eye","EXON3",30,85633.7464862322,0,85633.7464862322
"AW","AW_365326","Heart","EXON2",25,74125.9362954396,779.648024747192,73346.2882706925
"AW","AW_365326","Heart","EXON3",30,71192.8956506561,565.268273056779,70627.6273775993
"AW","AW_365327","Heart","EXON2",21,65407.8356225604,0,65407.8356225604
"AW","AW_365327","Heart","EXON3",23,62819.7557957684,0,62819.7557957684
"AW","AW_365327","Liver","EXON2",21,90059.6890156615,0,90059.6890156615
"AW","AW_365327","Liver","EXON3",23,86496.1761409411,0,86496.1761409411
"AW","AW_365335","Eye","EXON2",21,92555.6633970367,0,92555.6633970367
"AW","AW_365335","Eye","EXON3",23,88893.3889460748,0,88893.3889460748
"AW","AW_365335","Liver","EXON2",11,204511.717997628,0,204511.717997628
"AW","AW_365335","Liver","EXON3",12,197842.85762814,0,197842.85762814
"AW","AW_365337","Eye","EXON2",11,0,0,0
"AW","AW_365337","Eye","EXON3",12,0,0,0
"AW","AW_365337","Heart","EXON2",12,117367.051817098,0,117367.051817098
"AW","AW_365337","Heart","EXON3",14,112723.03178117,0,112723.03178117
"AW","AW_365337","Liver","EXON2",12,159275.208291191,0,159275.208291191
"AW","AW_365337","Liver","EXON3",14,152972.951848014,0,152972.951848014
"AW","AW_365338","Heart","EXON2",21,138809.114638066,0,138809.114638066
"AW","AW_365338","Heart","EXON3",21,133316.667655985,0,133316.667655985
"AW","AW_365338","Liver","EXON2",21,95008.2800672909,0,95008.2800672909
"AW","AW_365338","Liver","EXON3",21,91248.9596329736,0,91248.9596329736
"AW","AW_365339","Gonad","EXON2",9,0,0,0
"AW","AW_365339","Gonad","EXON3",10,0,0,0
"AW","AW_365339","Heart","EXON2",19,79600.7783786047,0,79600.7783786047
"AW","AW_365339","Heart","EXON3",21,76451.1072916815,0,76451.1072916815
"AW","AW_365339","Liver","EXON2",19,116309.989030244,0,116309.989030244
"AW","AW_365339","Liver","EXON3",21,111707.795219694,0,111707.795219694
"AW","AW_366487","Brain","EXON2",14,59716.0067900051,0,59716.0067900051
"AW","AW_366487","Brain","EXON3",15,57353.1432119833,0,57353.1432119833
"AW","AW_366487","Heart","EXON2",24,54911.6086179545,879.131373196479,54032.477244758
"AW","AW_366487","Heart","EXON3",26,52738.8471258771,825.177462206081,51913.6696636711
"AW","AW_366487","Liver","EXON2",14,64464.6175716255,0,64464.6175716255
"AW","AW_366487","Liver","EXON3",15,56580.4557103476,0,56580.4557103476
"AW","AW_366488","Brain","EXON2",30,46681.9524444045,2154.92415329461,44527.0282911099
"AW","AW_366488","Brain","EXON3",36,44834.8248296978,0,44834.8248296978
"AW","AW_366488","Heart","EXON2",30,49198.2899337993,0,49198.2899337993
"AW","AW_366488","Heart","EXON3",36,47251.5950083612,0,47251.5950083612
"AW","AW_366488","Liver","EXON2",30,70369.4437868878,0,70369.4437868878
"AW","AW_366488","Liver","EXON3",36,67585.0413348887,0,67585.0413348887
"AW","AW_366490","Heart","EXON2",21,122000.376432738,179.40573071897,121820.970702019
"AW","AW_366490","Heart","EXON3",23,117173.023408421,168.395270710946,117004.62813771
"AW","AW_366490","Liver","EXON2",21,127794.344848946,0,127794.344848946
"AW","AW_366490","Liver","EXON3",23,122737.734081541,0,122737.734081541
"AW","AW_366493","Brain","EXON2",29,87184.3062890872,2279.32826899574,84904.9780200914
"AW","AW_366493","Brain","EXON3",31,84341.3397796604,2205.00234718066,82136.3374324798
"AW","AW_366493","Heart","EXON2",29,83591.4966970728,0,83591.4966970728
"AW","AW_366493","Heart","EXON3",31,80865.6870221682,0,80865.6870221682
"AW","AW_366493","Liver","EXON2",29,89216.6809838213,129.86345648302,89086.8175273383
"AW","AW_366493","Liver","EXON3",31,85686.5245420154,121.893497059874,85564.6310449556
"AW","AW_366494","Brain","EXON2",23,116388.09565148,0,116388.09565148
"AW","AW_366494","Brain","EXON3",25,111782.811291169,0,111782.811291169
"AW","AW_366494","Heart","EXON2",23,97457.4188574369,279.247618502685,97178.1712389342
"AW","AW_366494","Heart","EXON3",25,93601.1900537254,268.198252302938,93332.9918014224
"AW","AW_366494","Liver","EXON2",23,102483.513011457,250.570936458329,102232.942074998
"AW","AW_366494","Liver","EXON3",25,98428.4099786291,240.656259116453,98187.7537195127
"AW","AW_366497","Brain","EXON2",19,77626.6323460423,335.648758484102,77290.9835875582
"AW","AW_366497","Brain","EXON3",21,75095.329117367,315.049376194464,74780.2797411725
"AW","AW_366497","Gonad","EXON2",19,89400.0651116294,0,89400.0651116294
"AW","AW_366497","Gonad","EXON3",21,86484.8455971198,0,86484.8455971198
"AW","AW_366497","Heart","EXON2",19,83649.1744860641,0,83649.1744860641
"AW","AW_366497","Heart","EXON3",21,80921.4840136925,0,80921.4840136925
"AW","AW_366497","Liver","EXON2",19,113230.638323661,87.8241355810411,113142.81418808
"AW","AW_366497","Liver","EXON3",21,109538.334900064,82.4342066825656,109455.900693381
"AW","AW_366498","Brain","EXON2",28,38239.0494946676,0,38239.0494946676
"AW","AW_366498","Brain","EXON3",29,36725.993579411,6070.82467662211,30655.1689027889
"AW","AW_366498","Heart","EXON2",28,43549.9138654207,0,43549.9138654207
"AW","AW_366498","Heart","EXON3",29,41826.7158347746,1018.11621738022,40808.5996173944
"AW","AW_366498","Liver","EXON2",28,56094.9791532379,0,56094.9791532379
"AW","AW_366498","Liver","EXON3",29,53875.3936471746,245.445984725169,53629.9476624494
"AW","AW_366499","Brain","EXON2",19,129942.339641607,0,129942.339641607
"AW","AW_366499","Brain","EXON3",21,124819.164960397,0,124819.164960397
"AW","AW_366499","Heart","EXON2",19,93765.7616559883,0,93765.7616559883
"AW","AW_366499","Heart","EXON3",21,90055.6056192406,0,90055.6056192406
"AW","AW_366499","Liver","EXON2",19,106636.986117077,0,106636.986117077
"AW","AW_366499","Liver","EXON3",21,102417.537026113,0,102417.537026113
"AC","AC_1603_72852","Blood","EXON2",19,150822.331887325,0,150822.331887325
"AC","AC_1603_72852","Blood","EXON3",22,144854.541776676,0,144854.541776676
"AC","AC_1603_72872","Blood","EXON2",14,134587.406771602,0,134587.406771602
"AC","AC_1603_72872","Blood","EXON3",17,129262.005784236,0,129262.005784236
"AC","AC_1713_89780","Blood","EXON2",17,118133.971129011,523.612194988046,117610.358934023
