"individual_id","tissue","exon_id","EXON","CONTIG_TYPE","GENE_TYPE","FRAMESHIFTS_BLAST","INFRAME_STOPS_BLAST","FRAMESHIFTS_MINIPROT","INFRAME_STOPS_MINIPROT","exon_len_bp","exon_len_kb","count","RPK","scaling_factor","TPM","logTPM1","SPECIES"
"AW_365326","Eye","AW_365326_hap1_h1tg000208l_609199-609475:-","EXON3","Not_core","Potential_pseudogene",2,1,NA,NA,277,0.277,23,83.0324909747292,0.00571280194043802,14534.4599445999,9.58434645642764,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000208l_714147-714386:-","EXON2","Not_core","Potential_coding_gene",0,0,NA,NA,240,0.24,10,41.6666666666667,0.00571280194043802,7293.56051567787,8.89488421454689,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000208l_720668-720945:-_AW_365326_hap1_h1tg000208l_722089-722355:-","EXON2","Not_core","Potential_coding_gene",0,0,1,0,267,0.267,28,104.868913857678,0.00571280194043802,18356.8264664252,9.81781127298489,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000208l_720668-720945:-_AW_365326_hap1_h1tg000208l_722089-722355:-","EXON3","Not_core","Potential_coding_gene",0,0,1,0,278,0.278,28,100.719424460432,0.00571280194043802,17630.4772177537,9.77744106188477,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000208l_760882-761158:-","EXON3","Not_core","Potential_pseudogene",2,1,NA,NA,277,0.277,31,111.913357400722,0.00571280194043802,19589.9242731564,9.88282169069117,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000208l_997359-997618:._AW_365326_hap1_h1tg000208l_997873-998149:.","EXON2","Not_core","Potential_pseudogene",0,0,NA,NA,260,0.26,78,300,0.00571280194043802,52513.6357128806,10.8688471852125,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000208l_997359-997618:._AW_365326_hap1_h1tg000208l_997873-998149:.","EXON3","Not_core","Potential_pseudogene",2,1,NA,NA,277,0.277,78,281.58844765343,0.00571280194043802,49290.7772034259,10.8055125551141,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_128793-129070:-_AW_365326_hap1_h1tg000402l_130510-130776:-","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,49,183.520599250936,0.00571280194043802,32124.4463162441,10.3774037152137,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_128793-129070:-_AW_365326_hap1_h1tg000402l_130510-130776:-","EXON3","Core","Potential_coding_gene",0,0,0,0,278,0.278,49,176.258992805755,0.00571280194043802,30853.335131069,10.3370325423483,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_141265-141540:-_AW_365326_hap1_h1tg000402l_142782-143048:-","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,50,187.265917602996,0.00571280194043802,32780.0472614736,10.3976057999716,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_141265-141540:-_AW_365326_hap1_h1tg000402l_142782-143048:-","EXON3","Core","Potential_coding_gene",0,0,0,0,276,0.276,50,181.159420289855,0.00571280194043802,31711.1326768603,10.3644546209271,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_162528-162803:-_AW_365326_hap1_h1tg000402l_163949-164215:-","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,32,119.850187265918,0.00571280194043802,20979.2302473431,9.95133585650127,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_162528-162803:-_AW_365326_hap1_h1tg000402l_163949-164215:-","EXON3","Core","Potential_coding_gene",0,0,0,0,276,0.276,32,115.942028985507,0.00571280194043802,20295.1249131906,9.91818525583204,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_190268-190545:-_AW_365326_hap1_h1tg000402l_191287-191553:-","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,112,419.475655430712,0.00571280194043802,73427.3058657008,11.2040647787605,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_190268-190545:-_AW_365326_hap1_h1tg000402l_191287-191553:-","EXON3","Core","Potential_coding_gene",0,0,0,0,278,0.278,112,402.877697841727,0.00571280194043802,70521.9088710148,11.1636928845411,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_203975-204250:-_AW_365326_hap1_h1tg000402l_205321-205587:-","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,92,344.569288389513,0.00571280194043802,60315.2869611113,11.0073574451027,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_203975-204250:-_AW_365326_hap1_h1tg000402l_205321-205587:-","EXON3","Core","Potential_coding_gene",0,0,0,0,276,0.276,92,333.333333333333,0.00571280194043802,58348.4841254229,10.9742057966375,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_223277-223554:-_AW_365326_hap1_h1tg000402l_224668-224934:-","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,63,235.955056179775,0.00571280194043802,41302.8595494567,10.6287112261435,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_223277-223554:-_AW_365326_hap1_h1tg000402l_224668-224934:-","EXON3","Core","Potential_coding_gene",0,0,0,0,278,0.278,63,226.618705035971,0.00571280194043802,39668.5737399458,10.5883397683018,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_60655-60921:._AW_365326_hap1_h1tg000402l_61453-61730:.","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,136,509.36329588015,0.00571280194043802,89161.7285512081,11.3982183898939,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_60655-60921:._AW_365326_hap1_h1tg000402l_61453-61730:.","EXON3","Core","Potential_coding_gene",0,0,0,0,278,0.278,136,489.208633093525,0.00571280194043802,85633.7464862322,11.3578463966631,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_87430-87696:._AW_365326_hap1_h1tg000402l_88790-89067:.","EXON2","Core","Potential_coding_gene",0,0,0,0,267,0.267,104,389.513108614232,0.00571280194043802,68182.498303865,11.1299578542005,"AW"
"AW_365326","Eye","AW_365326_hap1_h1tg000402l_87430-87696:._AW_365326_hap1_h1tg000402l_88790-89067:.","EXON3","Core","Potential_coding_gene",0,0,0,0,278,0.278,104,374.10071942446,0.00571280194043802,65484.6296659423,11.0895860031398,"AW"
"AW_365326","Eye","AW_365326_hap2_h2tg000217l_495781-496057:-","EXON3","Not_core","Potential_pseudogene",2,1,0,0,277,0.277,0,0,0.00571280194043802,0,0,"AW"
"AW_365326","Eye","AW_365326_hap2_h2tg000217l_600090-600330:-","EXON2","Not_core","Potential_coding_gene",0,0,0,0,241,0.241,0,0,0.00571280194043802,0,0,"AW"
"AW_365326","Eye","AW_365326_hap2_h2tg000217l_606618-606895:-_AW_365326_hap2_h2tg000217l_608041-608307:-","EXON2","Not_core","Potential_coding_gene",0,0,0,0,267,0.267,0,0,0.00571280194043802,0,0,"AW"
