GENE_NAME	BLAST_ID	CONTIG	START	STOP	FRAMESHIFTS_BLAST	INFRAME_STOPS_BLAST	FRAMESHIFTS_MINIPROT	INFRAME_STOPS_MINIPROT	EXON	CONTIG_TYPE	GENE_TYPE	ANNOTATION	HAP	SPECIES
AA_SRR23446543_hap1.p_ctg_h1tg000087l_2086780-2087056:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l_2086780-2087056:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l	2086780	2087056	2	1	NA	NA	EXON3	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000087l_2193262-2193502:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l_2193262-2193502:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l	2193262	2193502	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000087l_2199784-2200061:-_AA_SRR23446543_hap1.p_ctg_h1tg000087l_2201200-2201466:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l_2199784-2200061:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l	2199784	2200061	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000087l_2199784-2200061:-_AA_SRR23446543_hap1.p_ctg_h1tg000087l_2201200-2201466:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l_2201200-2201466:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l	2201200	2201466	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000087l_2240050-2240326:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l_2240050-2240326:-	AA_SRR23446543_hap1.p_ctg_h1tg000087l	2240050	2240326	2	1	NA	NA	EXON3	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000087l_2483029-2483288:._AA_SRR23446543_hap1.p_ctg_h1tg000087l_2483543-2483819:.	AA_SRR23446543_hap1.p_ctg_h1tg000087l_2483029-2483288:.	AA_SRR23446543_hap1.p_ctg_h1tg000087l	2483029	2483288	0	0	NA	NA	EXON2	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000087l_2483029-2483288:._AA_SRR23446543_hap1.p_ctg_h1tg000087l_2483543-2483819:.	AA_SRR23446543_hap1.p_ctg_h1tg000087l_2483543-2483819:.	AA_SRR23446543_hap1.p_ctg_h1tg000087l	2483543	2483819	2	1	NA	NA	EXON3	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_59302-59568:._AA_SRR23446543_hap1.p_ctg_h1tg000555l_60567-60844:.	AA_SRR23446543_hap1.p_ctg_h1tg000555l_59302-59568:.	AA_SRR23446543_hap1.p_ctg_h1tg000555l	59302	59568	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_59302-59568:._AA_SRR23446543_hap1.p_ctg_h1tg000555l_60567-60844:.	AA_SRR23446543_hap1.p_ctg_h1tg000555l_60567-60844:.	AA_SRR23446543_hap1.p_ctg_h1tg000555l	60567	60844	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_73314-73580:._AA_SRR23446543_hap1.p_ctg_h1tg000555l_74818-75095:.	AA_SRR23446543_hap1.p_ctg_h1tg000555l_73314-73580:.	AA_SRR23446543_hap1.p_ctg_h1tg000555l	73314	73580	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_73314-73580:._AA_SRR23446543_hap1.p_ctg_h1tg000555l_74818-75095:.	AA_SRR23446543_hap1.p_ctg_h1tg000555l_74818-75095:.	AA_SRR23446543_hap1.p_ctg_h1tg000555l	74818	75095	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_114110-114387:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_115162-115428:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_114110-114387:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	114110	114387	0	0	NA	NA	EXON3	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_114110-114387:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_115162-115428:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_115162-115428:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	115162	115428	0	1	NA	NA	EXON2	Uncertain	Potential_pseudogene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_130381-130658:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_131782-132048:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_130381-130658:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	130381	130658	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_130381-130658:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_131782-132048:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_131782-132048:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	131782	132048	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_178254-178529:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_180191-180457:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_178254-178529:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	178254	178529	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_178254-178529:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_180191-180457:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_180191-180457:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	180191	180457	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_186578-186855:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_189093-189359:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_186578-186855:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	186578	186855	0	0	NA	NA	EXON3	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
AA_SRR23446543_hap1.p_ctg_h1tg000555l_186578-186855:-_AA_SRR23446543_hap1.p_ctg_h1tg000555l_189093-189359:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l_189093-189359:-	AA_SRR23446543_hap1.p_ctg_h1tg000555l	189093	189359	0	0	NA	NA	EXON2	Uncertain	Potential_coding_gene	NA	AA_SRR23446543_hap1	AA
